Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,serotype,isolation_source
SRR28752446,WGS,292.0,93605195,PRJNA1102327,SAMN41019184,Viral,30074178,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318198,USA,North America,USA,Blackbird,Illumina iSeq 100,24-008354-001-original,24-008354-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:12:00Z,1,24-008354-001-original,SRP503016,H5N1,
SRR28752447,WGS,482.0,86080323,PRJNA1102327,SAMN41019237,Viral,28164109,USDA-NVSL,2024,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX24318197,USA,North America,USA,Cattle,Illumina MiSeq,24-009108-005-original,24-009108-005-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-009108-005-original,SRP503016,H5N1,
SRR28752448,WGS,500.0,75035343,PRJNA1102327,SAMN41019236,Viral,24547283,USDA-NVSL,2024,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX24318196,USA,North America,USA,Cattle,Illumina MiSeq,24-009108-004-original,24-009108-004-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-009108-004-original,SRP503016,H5N1,
SRR28752449,WGS,293.0,59363690,PRJNA1102327,SAMN41019235,Viral,19686302,USDA-NVSL,2024,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318195,USA,North America,USA,Cattle,Illumina iSeq 100,24-009108-003-original,24-009108-003-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-009108-003-original,SRP503016,H5N1,
SRR28752450,WGS,502.0,119232569,PRJNA1102327,SAMN41019234,Viral,38846827,USDA-NVSL,2024,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24318194,USA,North America,USA,Cattle,Illumina MiSeq,24-009108-002-original,24-009108-002-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-009108-002-original,SRP503016,H5N1,
SRR28752451,WGS,293.0,64394752,PRJNA1102327,SAMN41019233,Viral,21179953,USDA-NVSL,2024,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX24318193,USA,North America,USA,Cattle,Illumina iSeq 100,24-009108-001-original,24-009108-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-009108-001-original,SRP503016,H5N1,
SRR28752452,WGS,288.0,41343137,PRJNA1102327,SAMN41019232,Viral,14331437,USDA-NVSL,2024,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX24318192,USA,North America,USA,Cattle,Illumina iSeq 100,24-009088-002-original,24-009088-002-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-009088-002-original,SRP503016,H5N1,
SRR28752453,WGS,289.0,37055919,PRJNA1102327,SAMN41019231,Viral,12938409,USDA-NVSL,2024,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX24318191,USA,North America,USA,Cattle,Illumina iSeq 100,24-009088-001-original,24-009088-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-009088-001-original,SRP503016,H5N1,
SRR28752454,WGS,495.0,77475156,PRJNA1102327,SAMN41019230,Viral,25347759,USDA-NVSL,2024,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX24318190,USA,North America,USA,Cattle,Illumina MiSeq,24-009087-001-original,24-009087-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-009087-001-original,SRP503016,H5N1,
SRR28752455,WGS,295.0,63694864,PRJNA1102327,SAMN41019229,Viral,19920569,USDA-NVSL,2024,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX24318189,USA,North America,USA,Cattle,Illumina iSeq 100,24-009029-001-original,24-009029-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-009029-001-original,SRP503016,H5N1,
SRR28752456,WGS,502.0,52181145,PRJNA1102327,SAMN41019228,Viral,17307723,USDA-NVSL,2024,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX24318188,USA,North America,USA,Cattle,Illumina MiSeq,24-009028-019-original,24-009028-019-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-009028-019-original,SRP503016,H5N1,
SRR28752457,WGS,437.0,47935468,PRJNA1102327,SAMN41019183,Viral,28922890,USDA-NVSL,2024,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX24318187,USA,North America,USA,Chicken,Illumina MiSeq,24-007264-003-original,24-007264-003-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-007264-003-original,SRP503016,H5N1,
SRR28752458,WGS,294.0,62891056,PRJNA1102327,SAMN41019227,Viral,21008368,USDA-NVSL,2024,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX24318186,USA,North America,USA,Cattle,Illumina iSeq 100,24-009028-009-original,24-009028-009-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-009028-009-original,SRP503016,H5N1,
SRR28752459,WGS,293.0,74780574,PRJNA1102327,SAMN41019226,Viral,24761680,USDA-NVSL,2024,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX24318185,USA,North America,USA,Cattle,Illumina iSeq 100,24-009028-008-original,24-009028-008-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:12:00Z,1,24-009028-008-original,SRP503016,H5N1,
SRR28752460,WGS,293.0,37208576,PRJNA1102327,SAMN41019225,Viral,12502505,USDA-NVSL,2024,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX24318184,USA,North America,USA,Cattle,Illumina iSeq 100,24-009028-007-original,24-009028-007-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:12:00Z,1,24-009028-007-original,SRP503016,H5N1,
SRR28752461,WGS,480.0,77377796,PRJNA1102327,SAMN41019224,Viral,25341372,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24318183,USA,North America,USA,Cattle,Illumina MiSeq,24-009028-005-original-repeat,24-009028-005-original-repeat,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-009028-005-original-repeat,SRP503016,H5N1,
SRR28752462,WGS,294.0,44853173,PRJNA1102327,SAMN41019223,Viral,14985041,USDA-NVSL,2024,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318182,USA,North America,USA,Cattle,Illumina iSeq 100,24-009028-003-original-MTM,24-009028-003-original-MTM,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:12:00Z,1,24-009028-003-original-MTM,SRP503016,H5N1,
SRR28752463,WGS,293.0,54801527,PRJNA1102327,SAMN41019222,Viral,17463854,USDA-NVSL,2024,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX24318181,USA,North America,USA,Cattle,Illumina iSeq 100,24-009028-002-original,24-009028-002-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:12:00Z,1,24-009028-002-original,SRP503016,H5N1,
SRR28752464,WGS,293.0,33074037,PRJNA1102327,SAMN41019221,Viral,10719607,USDA-NVSL,2024,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX24318180,USA,North America,USA,Cattle,Illumina iSeq 100,24-009028-001-original,24-009028-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-009028-001-original,SRP503016,H5N1,
SRR28752465,WGS,468.0,117099303,PRJNA1102327,SAMN41019220,Viral,38452412,USDA-NVSL,2024,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX24318179,USA,North America,USA,Cattle,Illumina MiSeq,24-009027-010-original-repeat,24-009027-010-original-repeat,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-009027-010-original-repeat,SRP503016,H5N1,
SRR28752466,WGS,293.0,61386586,PRJNA1102327,SAMN41019219,Viral,20409517,USDA-NVSL,2024,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX24318178,USA,North America,USA,Cattle,Illumina iSeq 100,24-009027-005-original-MTM,24-009027-005-original-MTM,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-009027-005-original-MTM,SRP503016,H5N1,
SRR28752467,WGS,500.0,70896160,PRJNA1102327,SAMN41019218,Viral,23271471,USDA-NVSL,2024,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX24318177,USA,North America,USA,Cattle,Illumina MiSeq,24-009027-004-original-repeat,24-009027-004-original-repeat,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:12:00Z,1,24-009027-004-original-repeat,SRP503016,H5N1,
SRR28752468,WGS,438.0,64558181,PRJNA1102327,SAMN41019182,Viral,39304719,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX24318176,USA,North America,USA,Chicken,Illumina MiSeq,24-007264-001-original,24-007264-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-007264-001-original,SRP503016,H5N1,
SRR28752469,WGS,501.0,66029182,PRJNA1102327,SAMN41019217,Viral,21752730,USDA-NVSL,2024,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318175,USA,North America,USA,Cattle,Illumina MiSeq,24-009027-003-original-repeat,24-009027-003-original-repeat,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:12:00Z,1,24-009027-003-original-repeat,SRP503016,H5N1,
